Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Saillon;1913;0;Saillon;VS;579741;113139
Saint-Aubin FR;1566;0;Saint-Aubin (FR);FR;564903;193488
Saint-Martin FR;1609;0;Saint-Martin (FR);FR;557603;158207
Sala Capriasca;6954;0;Capriasca;TI;723172;107978
Sala Capriasca;6954;0;Capriasca;TI;716848;104817
Saland;8493;0;Bauma;ZH;707509;249669
Salavaux;1585;0;Vully-les-Lacs;VD;568590;195799
Salenstein;8268;2;Salenstein;TG;721021;280011
Salez;9465;0;Sennwald;SG;755877;233623
Salgesch;3970;0;Salgesch;VS;610288;129197
Salins;1991;0;Salins;VS;593450;116903
Salmsach;8599;0;Salmsach;TG;744921;268488
Salorino;6872;0;Mendrisio;TI;721299;83050
Salouf;7462;0;Salouf;GR;761139;165950
Salvan;1922;0;Salvan;VS;566733;110129
Salvenach;1794;0;Salvenach;FR;578001;195910
Samedan;7503;0;Samedan;GR;784664;156593
Samnaun Dorf;7563;0;Samnaun;GR;822312;203704
Samnaun-Compatsch;7562;0;Samnaun;GR;825192;205470
Samstagern;8833;0;Richterswil;ZH;694030;227699
San Bernardo;6605;0;Orselina;TI;704487;115957
Sangernboden;1738;0;Guggisberg;BE;595043;172920
Sargans;7320;0;Sargans;SG;752713;213433
Sarmenstorf;5614;0;Sarmenstorf;AG;661417;240350
Sarn;7423;0;Cazis;GR;749031;176735
Sarnen;6060;0;Sarnen;OW;661485;194150
Sarreyer;1948;2;Bagnes;VS;586165;101980
Sarzens;1683;3;Sarzens;VD;554982;170395
Sassel;1534;0;Valbroye;VD;555813;180801
Satigny;1242;0;Satigny;GE;491076;119197
Sattel;6417;0;Sattel;SZ;690280;215167
Saubraz;1189;0;Saubraz;VD;514591;152574
Saulcy;2873;0;Saulcy;JU;579357;239265
Saules;2063;4;Fenin-Vilars-Saules;NE;562120;209811
Saules BE;2732;3;Saules (BE);BE;583667;233526
Savagnier;2065;0;Savagnier;NE;563241;211091
Savigny;1073;0;Savigny;VD;545330;154352
Savognin;7460;0;Savognin;GR;764809;160828
Savosa;6942;0;Savosa;TI;716641;97574
Sax;9468;0;Sennwald;SG;750900;233653
Saxeten;3813;0;Saxeten;BE;629647;163686
Saxon;1907;0;Saxon;VS;580177;109598
Saxonne (Ayent);1966;5;Ayent;VS;597277;125930
Says;7202;0;Trimmis;GR;765501;196549
Scareglia;6951;17;Valcolla;TI;723742;105667
Schaan;9494;0;Vaduz (LI);;758132;226949
Schaanwald;9486;0;Mauren (LI);;760833;231529
Schachen LU;6105;0;Werthenstein;LU;653492;209909
Schachen b. Herisau;9112;0;Herisau;AR;735679;249304
Schachen b. Reute;9414;0;Reute (AR);AR;760335;254891
Schaffhausen;8200;0;Schaffhausen;SH;688799;285618
Schaffhausen;8208;0;Schaffhausen;SH;689823;285261
Schafhausen im Emmental;3415;2;Hasle bei Burgdorf;BE;615691;204462
Schafisheim;5503;0;Schafisheim;AG;652840;247399
Schalunen;3314;0;Schalunen;BE;606675;218063
Schangnau;6197;0;Schangnau;BE;633421;184702
Scharans;7412;0;Scharans;GR;756279;175783
Scharnachtal;3722;0;Reichenbach im Kandertal;BE;621066;162313
Schattdorf;6467;0;Schattdorf;UR;692662;190254
Schattenhalb;3860;3;Schattenhalb;BE;655603;169548
Scheid;7419;0;Tomils;GR;755149;183428
Schellenberg;9488;0;Schellenberg (LI);;759708;233350
Schelten;2827;2;Schelten;BE;608792;242746
Schenkon;6214;0;Schenkon;LU;652574;226058
Scherz;5246;0;Scherz;AG;656490;255580
Scherzingen;8596;0;Münsterlingen;TG;734307;276532
Scheunen;3305;2;Scheunen;BE;601189;213341
Scheuren;2556;0;Scheuren;BE;591731;220063
Schiers;7220;0;Schiers;GR;770878;204626
Schiers;7220;0;Schiers;GR;777310;207552
Schindellegi;8834;0;Feusisberg;SZ;696066;225584
Schinznach Bad;5116;0;Schinznach-Bad;AG;655137;256127
Schinznach Dorf;5107;0;Schinznach-Dorf;AG;652331;256256
Schlans;7168;0;Trun;GR;719395;180691
Schlatt TG;8252;0;Schlatt (TG);TG;694758;280618
Schlatt b. Winterthur;8418;0;Schlatt (ZH);ZH;703931;258772
Schlattingen;8255;0;Basadingen-Schlattingen;TG;700074;279788
Schleinikon;8165;3;Schleinikon;ZH;671774;260835
Schleitheim;8226;0;Schleitheim;SH;679762;289471
Schlierbach;6231;0;Schlierbach;LU;651492;231152
Schlieren;8952;0;Schlieren;ZH;676156;249776
Schliern b. Köniz;3098;1;Köniz;BE;599157;195013
Schlossrued;5044;0;Schlossrued;AG;649325;237587
Schlosswil;3082;0;Worb;BE;613190;195597
Schluein;7151;0;Schluein;GR;736362;183147
Schmerikon;8716;0;Schmerikon;SG;713620;231595
Schmidigen-Mühleweg;3464;0;Walterswil (BE);BE;622880;215873
Schmidrüti;8495;0;Turbenthal;ZH;711158;253232
Schmidshof;9565;4;Bussnang;TG;721704;267231
Schmiedrued;5046;1;Schmiedrued;AG;650836;235749
Schmitten (Albula);7493;0;Schmitten (GR);GR;771251;174707
Schmitten FR;3185;0;Schmitten (FR);FR;585864;188427
Schnaus;7130;2;Schnaus;GR;732928;182144
Schnaus;7130;2;Schnaus;GR;732962;187184
Schneisingen;5425;0;Schneisingen;AG;669880;264550
Schnottwil;3253;0;Schnottwil;SO;596382;217256
Schocherswil;8581;0;Amriswil;TG;737476;266700
Schongau;6288;0;Schongau;LU;663029;235468
Schuders;7228;0;Schiers;GR;775766;209395
Schupfart;4325;0;Schupfart;AG;639508;262711
Schwaderloch;5326;0;Schwaderloch;AG;652968;270632
Schwadernau;2556;2;Schwadernau;BE;590241;219261
Schwanden (Sigriswil);3657;0;Sigriswil;BE;624331;177065
Schwanden GL;8762;0;Glarus Süd;GL;726398;203130
Schwanden b. Brienz;3855;41;Schwanden bei Brienz;BE;647025;180202
Schwanden im Emmental;3433;0;Rüderswil;BE;619331;202745
Schwarzenbach (Huttwil);4953;0;Huttwil;BE;629472;217185
Schwarzenbach LU;6215;2;Beromünster;LU;658590;231992
Schwarzenbach SG;9536;0;Jonschwil;SG;723438;255661
Schwarzenberg LU;6103;0;Schwarzenberg;LU;655786;205163
Schwarzenburg;3150;0;Schwarzenburg;BE;591820;184730
Schwarzenegg;3616;0;Oberlangenegg;BE;622850;183159
Schwarzhäusern;4911;0;Schwarzhäusern;BE;624771;234106
Schwarzsee;1716;3;Plaffeien;FR;588308;168779
Schweizersholz;9223;0;Bischofszell;TG;732510;262765
Schwellbrunn;9103;0;Schwellbrunn;AR;735665;246028
Schwende;9057;2;Schwende;AI;750911;240322
Schwenden im Diemtigtal;3757;0;Diemtigen;BE;605354;156225
Schwendi im Weisstannental;7325;0;Mels;SG;746508;207846
Schwendibach;3624;2;Schwendibach;BE;616872;179985
Schwerzenbach;8603;0;Schwerzenbach;ZH;691949;248652
Schwyz;6430;0;Schwyz;SZ;693393;209029
Schwändi b. Schwanden;8762;2;Glarus Süd;GL;723081;208118
Schänis;8718;0;Schänis;SG;723179;224345
Schöfflisdorf;8165;0;Schöfflisdorf;ZH;673974;261443
Schöftland;5040;0;Schöftland;AG;646845;239656
Schönenbaumgarten;8585;7;Langrickenbach;TG;734394;275046
Schönenberg ZH;8824;0;Schönenberg (ZH);ZH;691096;227540
Schönenberg an der Thur;9215;0;Kradolf-Schönenberg;TG;732589;264305
Schönenbuch;4124;0;Schönenbuch;BL;605142;264982
Schönengrund;9105;0;Schönengrund;AR;735000;243201
Schönenwerd;5012;0;Schönenwerd;SO;643141;247145
Schönholzerswilen;8577;0;Schönholzerswilen;TG;727592;263947
Schönried;3778;0;Saanen;BE;587705;150664
Schötz;6247;0;Schötz;LU;641627;224052
Schübelbach;8862;0;Schübelbach;SZ;712967;225785
Schüpbach;3535;0;Signau;BE;623309;197759
Schüpfen;3054;0;Schüpfen;BE;595348;209383
Schüpfheim;6170;0;Schüpfheim;LU;643182;199383
Scudellate;6838;3;Breggia;TI;724117;86543
Scuol;7550;0;Scuol;GR;820781;179759
Sedrun;7188;0;Tujetsch;GR;700464;164357
Seeberg;3365;2;Seeberg;BE;617177;223241
Seedorf BE;3267;0;Seedorf (BE);BE;591286;208068
Seedorf UR;6462;0;Seedorf (UR);UR;687624;193582
Seehof;2747;2;Seehof;BE;606451;239364
Seelisberg;6377;0;Seelisberg;UR;686370;202238
Seengen;5707;0;Seengen;AG;657994;242109
Seewen SO;4206;0;Seewen;SO;615866;253058
Seewen SZ;6423;0;Schwyz;SZ;690020;208994
Seewil;3256;3;Rapperswil (BE);BE;597845;210587
Seewis Dorf;7212;0;Seewis im Prättigau;GR;767105;209785
Seewis-Pardisla;7214;1;Seewis im Prättigau;GR;766851;205275
Seewis-Schmitten;7214;2;Seewis im Prättigau;GR;767519;205605
Seftigen;3662;0;Seftigen;BE;607832;182197
Segnas;7186;0;Disentis/Mustér;GR;705263;171540
Seigneux;1525;2;Valbroye;VD;556886;175438
Seiry;1470;3;Lully (FR);FR;554043;185081
Seleute;2888;0;Clos du Doubs;JU;575248;246463
Selkingen;3989;3;Grafschaft;VS;656579;146983
Selma;6545;0;Selma;GR;730662;131023
Seltisberg;4411;0;Seltisberg;BL;620715;256705
Selzach;2545;0;Selzach;SO;600641;229653
Sembrancher;1933;0;Sembrancher;VS;575673;102107
Sementina;6514;0;Sementina;TI;718137;116051
Semione;6714;0;Semione;TI;716298;139475
Sempach;6204;0;Sempach;LU;658225;220875
Sempach Station;6203;0;Neuenkirch;LU;658443;218926
Semsales;1623;0;Semsales;FR;561441;157733
Senarclens;1304;4;Senarclens;VD;526745;161280
Sennhof (Winterthur);8482;0;Winterthur;ZH;699471;258233
Sennwald;9466;0;Sennwald;SG;756267;236680
Sent;7554;0;Sent;GR;820416;190767
Senèdes;1724;6;Senèdes;FR;577319;176777
Seon;5703;0;Seon;AG;654422;244458
Sergey;1355;2;Sergey;VD;528334;178268
Serneus;7249;0;Klosters-Serneus;GR;782255;195802
Serpiano;6867;0;Brusino Arsizio;TI;716724;86141
Servion;1077;0;Servion;VD;549485;158343
Seseglio;6832;1;Chiasso;TI;721315;76439
Sessa;6997;0;Sessa;TI;706298;95556
Seuzach;8472;0;Seuzach;ZH;696808;265693
Sevelen;9475;0;Sevelen;SG;752909;222182
Sevgein;7127;0;Sevgein;GR;736548;180021
Sfazù;7742;2;Poschiavo;GR;805933;142091
Siat;7157;0;Siat;GR;730912;184361
Siblingen;8225;0;Siblingen;SH;681561;286106
Siebnen;8854;0;Schübelbach;SZ;712474;223021
Siegershausen;8573;0;Kemmental;TG;730181;275684
Sierre;3960;0;Anniviers;VS;609670;123202
Sierre;3960;0;Sierre;VS;608255;126403
Siggenthal Station;5301;0;Untersiggenthal;AG;660348;262991
Sigigen;6019;0;Ruswil;LU;652993;212486
Sigirino;6806;0;Monteceneri;TI;712033;105139
Siglistorf;5462;0;Siglistorf;AG;671689;266005
Signau;3534;0;Signau;BE;622336;195427
Signy;1274;1;Signy-Avenex;VD;504953;138730
Signèse (Ayent);1966;11;Ayent;VS;597320;122842
Signôra;6951;23;Valcolla;TI;724364;105879
Sigriswil;3655;0;Sigriswil;BE;622645;174331
Sihlbrugg;6340;4;Horgen;ZH;685899;232066
Sihlbrugg Station;8135;2;Horgen;ZH;686015;233043
Sihlwald;8135;3;Horgen;ZH;684449;234755
Silenen;6473;0;Silenen;UR;695500;184711
Sils im Domleschg;7411;0;Sils im Domleschg;GR;755504;173048
Sils/Segl Baselgia;7515;0;Sils im Engadin/Segl;GR;777118;145371
Sils/Segl Maria;7514;0;Sils im Engadin/Segl;GR;779996;144941
Silvaplana;7513;0;Silvaplana;GR;777507;149848
Silvaplana-Surlej;7513;2;Silvaplana;GR;783092;146412
Simplon Dorf;3907;0;Simplon;VS;646993;116857
Sins;5643;0;Sins;AG;672087;227760
Sins;5643;0;Sins;AG;668792;226775
Sion;1950;0;Sion;VS;593682;119792
Sirnach;8370;0;Sirnach;TG;717650;257821
Siselen BE;2577;0;Siselen;BE;581664;208861
Sisikon;6452;0;Sisikon;UR;690603;199687
Sissach;4450;0;Sissach;BL;627671;258087
Sisseln AG;4334;0;Sisseln;AG;640956;266862
Sitterdorf;8589;0;Zihlschlacht-Sitterdorf;TG;736219;263237
Siviez (Nendaz);1997;1;Nendaz;VS;590904;106649
Siviriez;1678;0;Siviriez;FR;556920;168041
Soazza;6562;0;Soazza;GR;737837;134764
Sobrio;6749;0;Sobrio;TI;712873;140067
Soglio;7610;0;Bregaglia;GR;758917;139316
Solduno;6600;4;Locarno;TI;702953;114571
Solothurn;4500;0;Solothurn;SO;606791;228572
Somazzo;6872;1;Mendrisio;TI;720667;82389
Someo;6674;0;Maggia;TI;692618;127015
Sommentier;1688;0;Vuisternens-devant-Romont;FR;559951;165082
Sommeri;8580;3;Sommeri;TG;738650;270473
Sonceboz-Sombeval;2605;0;Sonceboz-Sombeval;BE;580515;226493
Sonnental;9245;2;Oberbüren;SG;727767;257928
Sonogno;6637;0;Sonogno;TI;701382;135675
Sonterswil;8564;3;Wäldi;TG;723600;276003
Sonvico;6968;0;Sonvico;TI;721880;102829
Sonvilier;2615;0;Sonvilier;BE;563434;220155
Sool;8762;3;Glarus Süd;GL;727633;207807
Soral;1286;0;Soral;GE;492023;111562
Sorengo;6924;0;Sorengo;TI;715918;95468
Sorens;1642;0;Sorens;FR;569775;169156
Sornetan;2716;0;Sornetan;BE;583126;236116
Sorvilier;2736;0;Sorvilier;BE;590189;231339
Sottens;1062;0;Jorat-Menthue;VD;547027;166912
Soubey;2887;0;Soubey;JU;570408;240075
Souboz;2748;0;Souboz;BE;586182;235730
Soulce;2864;0;Soulce;JU;588847;238802
Soyhières;2805;0;Soyhières;JU;595738;249581
Speicher;9042;0;Speicher;AR;751141;252653
Speicherschwendi;9037;0;Speicher;AR;750878;254928
Spiegel b. Bern;3095;0;Köniz;BE;599692;197146
Spiez;3700;0;Spiez;BE;617795;170109
Spiringen;6464;0;Spiringen;UR;699014;192202
Splügen;7435;0;Splügen;GR;744780;156003
Spreitenbach;8957;0;Spreitenbach;AG;670032;252260
Spruga;6663;2;Onsernone;TI;686151;117758
St-Aubin-Sauges;2024;0;Saint-Aubin-Sauges;NE;548791;194168
St-Barthélemy VD;1040;3;Saint-Barthélemy (VD);VD;535941;165188
St-Blaise;2072;0;Saint-Blaise;NE;566823;209693
St-Brais;2364;0;Saint-Brais;JU;576076;239565
St-Cergue;1264;0;Saint-Cergue;VD;500883;145212
St-Cierges;1410;5;Saint-Cierges;VD;546196;171173
St-George;1188;2;Saint-George;VD;509304;152748
St-Germain (Savièse);1965;4;Savièse;VS;593411;122263
St-Germain (Savièse);1965;4;Savièse;VS;592688;122273
St-Gingolph;1898;0;Saint-Gingolph;VS;551842;137131
St-Imier;2610;0;Saint-Imier;BE;565767;221996
St-Jean VS;3961;41;Anniviers;VS;609301;117569
St-Livres;1176;0;Saint-Livres;VD;518874;152210
St-Luc;3961;22;Anniviers;VS;614462;118242
St-Légier-La Chiésaz;1806;0;Saint-Légier-La Chiésaz;VD;559226;150078
St-Léonard;1958;0;Saint-Léonard;VS;599244;122803
St-Martin VS;1969;0;Saint-Martin (VS);VS;600420;113219
St-Maurice;1890;0;Saint-Maurice;VS;567246;115937
St-Oyens;1187;0;Saint-Oyens;VD;512387;149844
St-Pierre-de-Clages;1955;5;Chamoson;VS;584977;115524
St-Prex;1162;0;Saint-Prex;VD;523890;148695
St-Romain (Ayent);1966;4;Ayent;VS;597912;125691
St-Saphorin (Lavaux);1071;2;Saint-Saphorin (Lavaux);VD;550706;147250
St-Saphorin-sur-Morges;1113;0;Echichens;VD;527268;155244
St-Sulpice NE;2123;0;Val-de-Travers;NE;532904;195567
St-Sulpice VD;1025;0;Saint-Sulpice (VD);VD;532347;151726
St-Séverin;1975;0;Conthey;VS;589526;120819
St-Triphon;1867;2;Ollon;VD;563893;125754
St-Ursanne;2882;0;Clos du Doubs;JU;578051;245838
St-Ursanne;2882;0;Saint-Brais;JU;575299;241132
St. Antoni;1713;0;St. Antoni;FR;586733;185671
St. Antönien;7246;0;St. Antönien;GR;781889;205759
St. Erhard;6212;0;Knutwil;LU;647930;225877
St. Gallen;9012;0;St. Gallen;SG;745128;252832
St. Gallen;9008;0;St. Gallen;SG;747312;256391
St. Gallen;9010;0;St. Gallen;SG;745796;256399
St. Gallen;9000;0;St. Gallen;SG;745132;254316
St. Gallen;9016;0;St. Gallen;SG;748990;256402
St. Gallen;9014;0;St. Gallen;SG;743159;252656
St. Gallen;9011;0;St. Gallen;SG;747994;253400
St. Gallen;9015;0;St. Gallen;SG;741190;252214
St. Gallenkappel;8735;0;St. Gallenkappel;SG;715812;233869
St. German;3942;3;Raron;VS;629461;128824
St. Josefen;9030;3;Gaiserwald;SG;743345;254470
St. Margarethen TG;9543;0;Münchwilen (TG);TG;717788;261119
St. Margrethen SG;9430;0;St. Margrethen;SG;764887;258345
St. Margrethenberg;7313;0;Pfäfers;SG;757812;204104
St. Martin (Lugnez);7116;2;St. Martin;GR;734662;169119
St. Moritz;7500;0;St. Moritz;GR;783865;151053
St. Niklaus VS;3924;0;St. Niklaus;VS;628665;112272
St. Niklausen OW;6066;0;Kerns;OW;665765;191699
St. Pantaleon;4421;0;Nuglar-St. Pantaleon;SO;618829;256532
St. Pelagiberg;9225;1;Hauptwil-Gottshaus;TG;740665;261550
St. Peter;7028;0;St. Peter-Pagig;GR;769053;190855
St. Peterzell;9127;0;Neckertal;SG;731773;242514
St. Silvester;1736;0;St. Silvester;FR;583128;175019
St. Stephan;3772;0;St. Stephan;BE;596260;148846
St. Urban;4915;0;Pfaffnau;LU;631700;229779
St. Ursen;1717;0;St. Ursen;FR;583961;182047
Sta. Maria Val Müstair;7536;0;Val Müstair;GR;818282;163622
Sta. Maria in Calanca;6541;0;Santa Maria in Calanca;GR;731424;126440
Staad SG;9422;0;Thal;SG;759014;260645
Stabio;6855;0;Stabio;TI;715934;78155
Stachen;9320;3;Arbon;TG;748625;263863
Stadel (Winterthur);8404;3;Winterthur;ZH;699879;266118
Stadel b. Niederglatt;8174;0;Stadel;ZH;677659;264538
Staffelbach;5053;0;Staffelbach;AG;645270;236942
Stalden (Sarnen);6063;0;Sarnen;OW;655200;194519
Stalden VS;3922;0;Stalden (VS);VS;634257;121421
Staldenried;3933;0;Staldenried;VS;636300;118464
Stallikon;8143;0;Stallikon;ZH;679439;242633
Stampa;7605;0;Bregaglia;GR;765271;134711
Stans;6370;0;Stans;NW;670503;200941
Stansstad;6362;0;Stansstad;NW;667986;203179
Starrkirch-Wil;4656;0;Starrkirch-Wil;SO;636976;243914
Staufen;5603;0;Staufen;AG;654405;247484
Ste-Croix;1450;0;Sainte-Croix;VD;528410;186774
Stechelberg;3824;0;Lauterbrunnen;BE;637187;153160
Steckborn;8266;0;Steckborn;TG;717231;279837
Steffisburg;3612;0;Steffisburg;BE;615244;181298
Steffisburg;3613;0;Steffisburg;BE;613435;180000
Steg VS;3940;0;Steg-Hohtenn;VS;625178;133720
Steg im Tösstal;8496;0;Fischenthal;ZH;713912;244816
Stehrenberg;9503;0;Bussnang;TG;724446;264886
Stein AG;4332;0;Stein (AG);AG;638489;265657
Stein AR;9063;0;Stein (AR);AR;743885;248971
Stein SG;9655;0;Stein (SG);SG;735621;229165
Stein am Rhein;8260;0;Stein am Rhein;SH;706494;280381
Steinach;9323;0;Steinach;SG;750279;262364
Steinebrunn;9314;0;Egnach;TG;743226;266433
Steinen;6422;0;Steinen;SZ;689002;211555
Steinerberg;6416;0;Steinerberg;SZ;686711;213290
Steinhaus;3995;4;Ernen;VS;661481;140536
Steinhaus;3995;4;Ernen;VS;657527;141214
Steinhausen;6312;0;Steinhausen;ZG;679394;228068
Steinhof SO;4556;4;Aeschi (SO);SO;618893;223216
Steinhuserberg;6114;0;Wolhusen;LU;645801;210710
Steinmaur;8162;0;Steinmaur;ZH;675969;261473
Stels;7226;0;Schiers;GR;774732;204342
Stels;7226;0;Schiers;GR;779219;209133
Sternenberg;8499;0;Sternenberg;ZH;711171;249824
Stetten AG;5608;0;Stetten (AG);AG;665194;250670
Stetten SH;8234;0;Stetten (SH);SH;691315;288104
Stettfurt;9507;0;Stettfurt;TG;714614;264923
Stettlen;3066;0;Bolligen;BE;606853;201268
Stierva;7459;0;Stierva;GR;759451;170006
Stilli;5233;0;Villigen;AG;659702;263395
Stoos SZ;6433;0;Morschach;SZ;693062;202806
Strada;7558;0;Ramosch;GR;828391;191596
Strengelbach;4802;0;Strengelbach;AG;636694;237023
Studen BE;2557;0;Studen (BE);BE;589932;218075
Studen SZ;8845;0;Unteriberg;SZ;707733;210477
Stugl/Stuls;7482;2;Bergün/Bravuogn;GR;776622;170113
Stäfa;8712;0;Stäfa;ZH;697416;232998
Stüsslingen;4655;0;Stüsslingen;SO;640045;249467
Suberg;3262;0;Grossaffoltern;BE;592475;211657
Subingen;4553;0;Subingen;SO;613817;227592
Suchy;1433;0;Suchy;VD;536186;174753
Suen (St-Martin);1969;4;Saint-Martin (VS);VS;600221;114378
Sufers;7434;0;Sufers;GR;749446;157371
Sugiez;1786;0;Bas-Vully;FR;574794;202124
Sugnens;1043;0;Montilliez;VD;541494;167337
Suhr;5034;0;Suhr;AG;648881;247292
Sulgen;8583;0;Sulgen;TG;731778;266846
Sullens;1036;0;Sullens;VD;533382;160415
Sulz AG;5085;0;Laufenburg;AG;649721;265121
Sulz LU;6284;2;Hitzkirch;LU;664357;230470
Sulzbach;8614;2;Uster;ZH;698852;242669
Sumiswald;3454;0;Sumiswald;BE;623165;209541
Summaprada;7421;0;Masein;GR;752213;175317
Sumvitg;7175;0;Sumvitg;GR;712913;179318
Sundlauenen;3800;5;Beatenberg;BE;627320;170765
Sur;7456;0;Sur;GR;770552;155559
Surava;7472;0;Surava;GR;766731;169766
Surcasti;7115;0;Suraua;GR;732317;171353
Surcuolm;7138;0;Mundaun;GR;731074;179033
Surin;7148;2;Lumbrein;GR;728686;169730
Surpierre;1528;0;Surpierre;FR;555441;177661
Surrein;7173;0;Sumvitg;GR;716822;170681
Sursee;6210;0;Sursee;LU;650514;225222
Susch;7542;0;Susch;GR;798059;180889
Suscévaz;1437;0;Suscévaz;VD;535010;179312
Susten;3952;0;Leuk;VS;614511;125706
Sutz;2572;0;Sutz-Lattrigen;BE;583211;216614
Syens;1510;2;Syens;VD;549377;165892
Sâles (Gruyère);1625;0;Sâles;FR;563726;164412
Säriswil;3049;0;Wohlen bei Bern;BE;592102;204585
Sédeilles;1554;0;Villarzel;VD;561192;177135
Sévaz;1541;3;Sévaz;FR;556717;187727
Sévery;1141;0;Sévery;VD;523624;158406
Sörenberg;6174;0;Flühli;LU;643083;185264
Süderen;3618;0;Röthenbach im Emmental;BE;624585;185671
Sünikon;8162;1;Steinmaur;ZH;674501;260168
Tafers;1712;0;Tafers;FR;582946;184435
Tagelswangen;8317;0;Lindau;ZH;692830;253605
Tamins;7015;0;Tamins;GR;750292;189890
Tann;8632;0;Dürnten;ZH;706641;236181
Tannay;1295;2;Tannay;VD;502437;129644
Tarasp;7553;0;Tarasp;GR;814555;179804
Tartar;7422;0;Cazis;GR;751428;176331
Tartegnin;1180;2;Tartegnin;VD;513673;146823
Tatroz;1617;2;Attalens;FR;556086;153182
Tavanasa;7162;0;Breil/Brigels;GR;725215;179710
Tavannes;2710;0;Tavannes;BE;581450;229952
Taverne;6807;0;Torricella-Taverne;TI;715478;102494
Tecknau;4492;0;Tecknau;BL;634389;254791
Tegerfelden;5306;0;Tegerfelden;AG;663741;268111
Tegna;6652;0;Tegna;TI;700758;116322
Tenero;6598;0;Tenero-Contra;TI;708949;114811
Tenna;7106;0;Tenna;GR;744798;179098
Tenniken;4456;0;Tenniken;BL;628397;253629
Tennwil;5617;0;Meisterschwanden;AG;658996;239598
Tentlingen;1734;0;Tentlingen;FR;581353;179479
Termen;3912;0;Termen;VS;646769;131179
Territet;1820;5;Montreux;VD;560570;141682
Tersnaus;7116;0;Suraua;GR;734103;172257
Tesserete;6950;0;Capriasca;TI;718283;103133
Teufen AR;9053;0;Teufen (AR);AR;748423;250889
Teufen ZH;8428;0;Freienstein-Teufen;ZH;685460;267363
Teufenthal AG;5723;0;Teufenthal (AG);AG;652148;242197
Teuffenthal b. Thun;3623;0;Teuffenthal (BE);BE;620599;179300
Thal;9425;0;Thal;SG;760238;260849
Thalheim AG;5112;0;Thalheim (AG);AG;649190;254655
Thalheim an der Thur;8478;0;Thalheim an der Thur;ZH;698295;270963
Thalkirch;7109;0;Safien;GR;741425;166504
Thalwil;8800;0;Thalwil;ZH;685504;238520
Thayngen;8240;0;Thayngen;SH;695397;288438
Theilingen;8484;3;Weisslingen;ZH;700249;252641
Therwil;4106;0;Therwil;BL;608885;260643
Thielle;2075;1;La Tène;NE;568699;207590
Thierachern;3634;0;Thierachern;BE;610123;177638
Thierrens;1410;0;Thierrens;VD;547929;172676
Thun;3603;0;Thun;BE;612338;178997
Thun;3600;0;Thun;BE;614135;178264
Thun;3604;0;Thun;BE;613915;176609
Thun;3608;0;Thun;BE;612244;176540
Thundorf;8512;0;Thundorf;TG;714814;267706
Thunersee;9999;1;Thunersee;BE;619800;172219
Thunstetten;4922;2;Thunstetten;BE;623424;227691
Thusis;7430;0;Thusis;GR;752448;172392
Thyon;1988;1;Vex;VS;595093;113835
Thônex;1226;0;Thônex;GE;505154;116979
Thörigen;3367;0;Thörigen;BE;622304;224984
Thörishaus;3174;0;Köniz;BE;593103;194373
Thürnen;4441;0;Thürnen;BL;629425;255708
Tiefencastel;7450;0;Tiefencastel;GR;765192;168110
Tinizong;7453;0;Tinizong-Rona;GR;769994;162217
Titterten;4425;0;Titterten;BL;621040;250136
Tobel;9555;0;Tobel-Tägerschen;TG;720966;264134
Toffen;3125;0;Toffen;BE;604269;189966
Tolochenaz;1131;0;Tolochenaz;VD;526210;150597
Torgon;1899;0;Vionnaz;VS;554978;128557
Torny-le-Grand;1748;0;Torny;FR;564041;179922
Torre;6717;1;Blenio;TI;718001;149100
Torricella;6808;0;Torricella-Taverne;TI;714187;103106
Trachselwald;3456;0;Trachselwald;BE;623557;207042
Trachslau;8840;2;Einsiedeln;SZ;698018;217511
Tramelan;2720;0;Tramelan;BE;575654;231156
Trans;7407;0;Tomils;GR;756116;181008
Trasadingen;8219;0;Trasadingen;SH;674096;280280
Travers;2105;0;Val-de-Travers;NE;542150;199793
Traversa;6723;3;Acquarossa;TI;710590;148794
Traversa;6723;3;Acquarossa;TI;713519;149518
Treiten;3226;0;Treiten;BE;579176;206369
Tremona;6865;0;Mendrisio;TI;718006;82169
Trey;1552;0;Trey;VD;560650;181123
Treycovagnes;1436;0;Treycovagnes;VD;536804;180490
Treyfayes;1626;2;Sâles;FR;563225;167073
Treytorrens (Payerne);1538;0;Treytorrens (Payerne);VD;551510;180646
Treyvaux;1733;0;Treyvaux;FR;577484;174425
Triboltingen;8273;0;Ermatingen;TG;725495;279622
Triengen;6234;0;Triengen;LU;648766;231936
Trient;1929;0;Trient;VS;565800;98204
Triesen;9495;0;Triesen (LI);;760435;216553
Triesenberg;9497;0;Triesenberg (LI);;762729;220448
Trimbach;4632;0;Trimbach;SO;634347;246653
Trimmis;7203;0;Trimmis;GR;762189;195398
Trimstein;3083;0;Trimstein;BE;610753;194565
Trin;7014;0;Trin;GR;743523;193589
Trin Mulin;7016;0;Trin;GR;744653;187396
Trogen;9043;0;Trogen;AR;754273;252083
Trogne (St-Martin);1969;3;Saint-Martin (VS);VS;602584;113629
Troinex;1256;0;Troinex;GE;500915;112798
Troistorrents;1872;0;Troistorrents;VS;558786;119779
Trub;3556;0;Trub;BE;633947;202204
Trubschachen;3555;0;Trub;BE;632336;194968
Trun;7166;0;Trun;GR;717818;179059
