Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Billens;1681;0;Billens-Hennens;FR;558563;171207
Bilten;8865;0;Glarus Nord;GL;719110;223561
Binn;3996;0;Binn;VS;660106;134439
Binningen;4102;0;Binningen;BL;609718;265115
Binz;8122;0;Maur;ZH;689784;245780
Bioggio;6934;0;Agno;TI;713270;96729
Bioggio;6934;0;Bioggio;TI;714085;97118
Biogno-Beride;6981;12;Croglio;TI;708617;95009
Bioley-Magnoux;1407;4;Bioley-Magnoux;VD;544845;175362
Bioley-Orjulaz;1042;3;Bioley-Orjulaz;VD;535714;163469
Bionnens;1670;2;Ursy;FR;555344;165034
Birgisch;3903;1;Birgisch;VS;640453;131301
Birmensdorf ZH;8903;0;Birmensdorf (ZH);ZH;675633;245058
Birmenstorf AG;5413;0;Birmenstorf (AG);AG;662455;255987
Bironico;6804;0;Monteceneri;TI;715330;109173
Birr;5242;1;Birr;AG;658281;253815
Birrhard;5244;0;Birrhard;AG;660688;254205
Birrwil;5708;0;Birrwil;AG;657416;238186
Birsfelden;4127;0;Birsfelden;BL;614171;266387
Birwinken;8585;9;Birwinken;TG;732246;271852
Bischofszell;9220;0;Bischofszell;TG;735981;262152
Bisisthal;6436;2;Muotathal;SZ;708976;198116
Bissone;6816;0;Bissone;TI;718638;90051
Bister;3983;2;Bister;VS;649149;133556
Bitsch;3982;0;Bitsch;VS;644220;132198
Bivio;7457;0;Bivio;GR;770971;147621
Bière;1145;0;Bière;VD;513720;155900
Blankenburg;3771;0;Zweisimmen;BE;598115;153971
Blatten (Lötschen);3919;0;Blatten;VS;632130;143690
Blatten b. Naters;3914;0;Naters;VS;641019;134778
Blauen;4223;0;Blauen;BL;606299;255734
Blausee-Mitholz;3717;0;Kandergrund;BE;618852;152945
Bleienbach;3368;0;Bleienbach;BE;624386;225836
Bleiken b. Oberdiessbach;3674;0;Bleiken bei Oberdiessbach;BE;615385;185088
Blessens;1675;2;Rue;FR;554053;162067
Blignou (Ayent);1966;9;Ayent;VS;596803;124444
Blitzingen;3989;5;Blitzingen;VS;658348;143775
Blonay;1807;0;Blonay;VD;559274;147311
Blumenstein;3638;0;Blumenstein;BE;604203;175310
Bodio TI;6743;0;Bodio;TI;713987;138430
Bofflens;1353;0;Bofflens;VD;527940;172656
Bogis-Bossey;1279;2;Bogis-Bossey;VD;502119;134664
Bogno;6951;19;Bogno;TI;726428;105749
Bolken;4556;2;Bolken;SO;616793;226968
Boll;3067;0;Vechigen;BE;608650;202061
Bolligen;3065;0;Bolligen;BE;605302;203675
Bollingen;8715;0;Rapperswil-Jona;SG;709861;231020
Bollion;1470;4;Estavayer-le-Lac;FR;553728;185747
Bollodingen;3366;2;Bettenhausen;BE;620156;223843
Boltigen;3766;0;Boltigen;BE;593768;161498
Bombinasco;6981;15;Curio;TI;707967;97048
Bonaduz;7402;0;Versam;GR;747670;180497
Bonau;8554;3;Wigoltingen;TG;720040;271511
Boncourt;2926;0;Boncourt;JU;567692;259826
Bonfol;2944;0;Bonfol;JU;578801;258524
Boningen;4618;0;Boningen;SO;631258;238995
Boniswil;5706;0;Boniswil;AG;657153;240196
Bonnefontaine;1724;8;Le Mouret;FR;581976;175987
Bonstetten;8906;0;Bonstetten;ZH;677412;241078
Bonvillars;1427;0;Bonvillars;VD;541318;188148
Boppelsen;8113;0;Boppelsen;ZH;672864;258432
Borex;1277;0;Borex;VD;503364;137342
Borgnone;6658;0;Centovalli;TI;689763;113939
Borgonovo;7604;0;Bregaglia;GR;767107;134320
Bosco Luganese;6935;0;Bioggio;TI;713542;98635
Bosco/Gurin;6685;0;Bosco/Gurin;TI;680901;130533
Bossonnens;1615;0;Bossonnens;FR;554709;153269
Boswil;5623;0;Boswil;AG;666078;238988
Bottens;1041;33;Bottens;VD;540706;162955
Bottenwil;4814;0;Bottenwil;AG;642408;237078
Botterens;1652;0;Botterens;FR;575189;162963
Bottighofen;8598;0;Bottighofen;TG;733071;277487
Bottmingen;4103;0;Bottmingen;BL;610458;263380
Botyre (Ayent);1966;8;Ayent;VS;597459;125023
Boudevilliers;2043;0;Boudevilliers;NE;557884;208940
Boudry;2017;0;Boudry;NE;552755;200536
Bougy-Villars;1172;0;Bougy-Villars;VD;516611;148718
Boulens;1063;3;Boulens;VD;544950;170367
Bouloz;1699;3;Le Flon;FR;558077;162806
Bourg-St-Pierre;1946;0;Bourg-Saint-Pierre;VS;582566;85015
Bourguillon;1722;0;Fribourg;FR;579812;183040
Bournens;1035;0;Bournens;VD;533024;162341
Bourrignon;2803;0;Bourrignon;JU;585892;249266
Boussens;1034;0;Boussens;VD;534569;161668
Bouveret;1897;0;Port-Valais;VS;554939;136021
Boveresse;2113;0;Val-de-Travers;NE;536016;196472
Bowil;3533;0;Bowil;BE;620089;192823
Boécourt;2856;0;Boécourt;JU;583204;245289
Braggio;6544;0;Braggio;GR;730580;129127
Brail;7527;0;Zernez;GR;797235;172149
Bramboden;6167;0;Romoos;LU;640860;203716
Bramois;1967;0;Sion;VS;597392;120193
Bratsch;3957;2;Gampel-Bratsch;VS;620546;130054
Braunau;9502;0;Braunau;TG;722865;262754
Braunwald;8784;0;Glarus Süd;GL;717869;200169
Breganzona;6932;0;Lugano;TI;715329;96383
Breil/Brigels;7165;0;Breil/Brigels;GR;720398;184231
Breitenbach;4226;0;Breitenbach;SO;608441;250412
Bremblens;1121;0;Bremblens;VD;529590;155841
Bremgarten AG;5620;0;Bremgarten (AG);AG;667301;245290
Bremgarten b. Bern;3047;0;Bremgarten bei Bern;BE;599804;202895
Brenles;1683;0;Brenles;VD;555483;168813
Breno;6937;0;Alto Malcantone;TI;709398;100179
Brent;1817;0;Montreux;VD;558916;144749
Brenzikofen;3671;0;Brenzikofen;BE;613549;184822
Bressaucourt;2904;0;Bressaucourt;JU;569737;248126
Bretigny-sur-Morrens;1053;2;Bretigny-sur-Morrens;VD;539313;161124
Bretonnières;1329;0;Bretonnières;VD;525901;174090
Bretzwil;4207;0;Bretzwil;BL;616088;249409
Brienz BE;3855;0;Brienz (BE);BE;645288;172907
Brienz/Brinzauls GR;7084;0;Brienz/Brinzauls;GR;765256;172905
Brienzersee;9999;2;Brienzersee;BE;640255;174792
Brienzwiler;3856;0;Brienzwiler;BE;651005;178935
Brig;3900;0;Brig-Glis;VS;641275;126627
Brigerbad;3900;3;Brig-Glis;VS;637386;128004
Brignon (Nendaz);1996;7;Nendaz;VS;591401;115774
Brione (Verzasca);6634;0;Brione (Verzasca);TI;702668;128399
Brione sopra Minusio;6645;0;Brione sopra Minusio;TI;706137;116778
Brislach;4225;0;Brislach;BL;608348;253047
Brissago;6614;0;Brissago;TI;696227;109271
Bristen;6475;0;Silenen;UR;700319;180865
Brittern;4588;1;Aetingen;SO;604214;218916
Brittnau;4805;0;Brittnau;AG;637090;234031
Broc;1636;0;Broc;FR;575748;161022
Broglio;6693;0;Lavizzara;TI;695014;136229
Bronschhofen;9552;0;Bronschhofen;SG;719912;259859
Brontallo;6692;1;Lavizzara;TI;690951;134818
Brot-Dessous;2149;3;Brot-Dessous;NE;547958;201547
Brot-Plamboz;2318;0;Brot-Plamboz;NE;547301;203362
Bruderholz;4101;0;Binningen;BL;610686;264152
Brugg AG;5200;0;Brugg;AG;657668;259394
Brunegg;5505;0;Brunegg;AG;658856;252552
Brunnadern;9125;0;Neckertal;SG;729012;243018
Brunnen;6440;0;Ingenbohl;SZ;687776;205485
Brunnenthal;3307;0;Messen;SO;601968;214529
